id,actual_value,expected_value,time_period,time_period_utc,time_gradient,grouping_level_1,grouping_level_2,grouping_level_3,grouping_level_4,grouping_level_5,grouping_level_6,grouping_level_7,grouping_level_8,grouping_level_9,data_group_hash,data_group_name,data_grouping_configuration,connection_hash,connection_name,provider,table_hash,schema_name,table_name,table_name_pattern,table_stage,table_priority,column_hash,column_name,column_name_pattern,check_hash,check_name,check_display_name,check_type,check_category,table_comparison,quality_dimension,sensor_name,time_series_id,executed_at,duration_ms,created_at,updated_at,created_by,updated_by,severity,incident_hash,reference_connection,reference_schema,reference_table,reference_column,include_in_kpi,warning_upper_bound,include_in_sla,fatal_upper_bound,fatal_lower_bound,warning_lower_bound,error_lower_bound,error_upper_bound,t,c,m
490a0900-53e9-f6ed-b54c-70297be84a85,0.0,0.0,2024-10-01 00:00:00,2024-10-01 00:00:00+00:00,day,,,,,,,,,,0,no grouping,default,8486698728497711043,xen,postgresql,2237369455255965947,public,users,users,,,,,,2068627208983352172,daily_table_availability,daily_table_availability,monitoring,availability,,Availability,table/availability/table_availability,1cb53d7c-8c29-136c-1f0c-bbaa5bd750fb,2024-10-01 06:37:13.510000+00:00,746,2024-10-01 06:37:16.234000+00:00,,,,0,,,,,,True,0.0,False,,,,,,,,
7d0120b1-1eff-7959-b7e8-1a82ec3d6002,0.0,,2024-10-01 00:00:00,2024-09-30 18:30:00+00:00,day,,,,,,,,,,0,no grouping,default,8486698728497711043,xen,postgresql,2237369455255965947,public,users,users,,,190394369475684999,userId,userId,2935806881035164888,daily_nulls_count,daily_nulls_count,monitoring,nulls,,Completeness,column/nulls/null_count,28be14cd-c13f-9cd8-1da8-d101cc027a7c,2024-10-01 06:36:55.646000+00:00,18820,2024-10-01 06:37:16.234000+00:00,,,,0,,,,,,False,,False,,,,,,,,
46cd13b1-f826-dffa-b7e8-1a82ec3d6002,0.0,,2024-10-01 00:00:00,2024-09-30 18:30:00+00:00,day,,,,,,,,,,0,no grouping,default,8486698728497711043,xen,postgresql,2237369455255965947,public,users,users,,,190394369475684999,userId,userId,1401226196156824187,daily_nulls_percent,daily_nulls_percent,monitoring,nulls,,Completeness,column/nulls/null_percent,137227cd-27e6-3a7b-1da8-d101cc027a7c,2024-10-01 06:37:13.240000+00:00,1226,2024-10-01 06:37:16.234000+00:00,,,,0,,,,,,False,,False,,,,,,,,
37db47ea-f25f-df5e-b7e8-1a82ec3d6002,0.0,0.0,2024-10-01 00:00:00,2024-09-30 18:30:00+00:00,day,,,,,,,,,,0,no grouping,default,8486698728497711043,xen,postgresql,2237369455255965947,public,users,users,,,190394369475684999,userId,userId,7089918802235701983,daily_nulls_percent_change,daily_nulls_percent_change,monitoring,nulls,,Completeness,column/nulls/null_percent,62647396-2d9f-3adf-1da8-d101cc027a7c,2024-10-01 06:37:13.249000+00:00,1218,2024-10-01 06:37:16.234000+00:00,,,,0,,,,,,True,0.0,False,,,0.0,,,,,
3977bcb7-e8bf-16c8-ec88-52c3cde00443,0.0,,2024-10-01 00:00:00,2024-09-30 18:30:00+00:00,month,,,,,,,,,,0,no grouping,default,8486698728497711043,xen,postgresql,2237369455255965947,public,users,users,,,6468333356282564294,name,name,7838665557829219145,profile_contains_usa_phone_percent,profile_contains_usa_phone_percent,profiling,pii,,Validity,column/pii/contains_usa_phone_percent,6cc888cb-377f-f349-46c8-9940eddf1e3d,2024-10-01 06:37:13.298000+00:00,1169,2024-10-01 06:37:16.234000+00:00,,,,0,,,,,,False,,False,,,,,,,,
36f05e9f-23be-4511-ec88-52c3cde00443,0.0,,2024-10-01 00:00:00,2024-09-30 18:30:00+00:00,month,,,,,,,,,,0,no grouping,default,8486698728497711043,xen,postgresql,2237369455255965947,public,users,users,,,6468333356282564294,name,name,7156055860341285008,profile_contains_email_percent,profile_contains_email_percent,profiling,pii,,Validity,column/pii/contains_email_percent,634f6ae3-fc7e-a090-46c8-9940eddf1e3d,2024-10-01 06:37:13.303000+00:00,1164,2024-10-01 06:37:16.234000+00:00,,,,0,,,,,,False,,False,,,,,,,,
16214890-9722-953c-ec88-52c3cde00443,0.0,,2024-10-01 00:00:00,2024-09-30 18:30:00+00:00,day,,,,,,,,,,0,no grouping,default,8486698728497711043,xen,postgresql,2237369455255965947,public,users,users,,,6468333356282564294,name,name,4872469201138380989,daily_nulls_count,daily_nulls_count,monitoring,nulls,,Completeness,column/nulls/null_count,439e7cec-48e2-70bd-46c8-9940eddf1e3d,2024-10-01 06:37:13.308000+00:00,1160,2024-10-01 06:37:16.234000+00:00,,,,0,,,,,,False,,False,,,,,,,,
2ded7b90-71fb-3391-ec88-52c3cde00443,0.0,,2024-10-01 00:00:00,2024-09-30 18:30:00+00:00,day,,,,,,,,,,0,no grouping,default,8486698728497711043,xen,postgresql,2237369455255965947,public,users,users,,,6468333356282564294,name,name,8670080110595659280,daily_nulls_percent,daily_nulls_percent,monitoring,nulls,,Completeness,column/nulls/null_percent,78524fec-ae3b-d610-46c8-9940eddf1e3d,2024-10-01 06:37:13.310000+00:00,1158,2024-10-01 06:37:16.234000+00:00,,,,0,,,,,,False,,False,,,,,,,,
5cfb2fcb-7b82-3335-ec88-52c3cde00443,0.0,0.0,2024-10-01 00:00:00,2024-09-30 18:30:00+00:00,day,,,,,,,,,,0,no grouping,default,8486698728497711043,xen,postgresql,2237369455255965947,public,users,users,,,6468333356282564294,name,name,667689120306484916,daily_nulls_percent_change,daily_nulls_percent_change,monitoring,nulls,,Completeness,column/nulls/null_percent,09441bb7-a442-d6b4-46c8-9940eddf1e3d,2024-10-01 06:37:13.314000+00:00,1154,2024-10-01 06:37:16.234000+00:00,,,,0,,,,,,True,0.0,False,,,0.0,,,,,
034b99cc-cb27-780f-ec88-52c3cde00443,8.0,8.0,2024-10-01 00:00:00,2024-09-30 18:30:00+00:00,day,,,,,,,,,,0,no grouping,default,8486698728497711043,xen,postgresql,2237369455255965947,public,users,users,,,6468333356282564294,name,name,6265823953355775374,daily_detected_datatype_in_text_changed,daily_detected_datatype_in_text_changed,monitoring,datatype,,Consistency,column/datatype/string_datatype_detect,56f4adb0-14e7-9d8e-46c8-9940eddf1e3d,2024-10-01 06:37:13.318000+00:00,1151,2024-10-01 06:37:16.234000+00:00,,,,0,,,,,,True,8.0,False,,,8.0,,,,,
49785479-bc4b-8088-9887-c621ddb0ce39,0.0,,2024-10-01 00:00:00,2024-09-30 18:30:00+00:00,month,,,,,,,,,,0,no grouping,default,8486698728497711043,xen,postgresql,2237369455255965947,public,users,users,,,3299931300245832892,email,email,2073731729688585481,profile_contains_usa_phone_percent,profile_contains_usa_phone_percent,profiling,pii,,Validity,column/pii/contains_usa_phone_percent,1cc76005-638b-6509-32c7-0da2fd8fd447,2024-10-01 06:37:13.338000+00:00,1130,2024-10-01 06:37:16.234000+00:00,,,,0,,,,,,False,,False,,,,,,,,
